zipcode,Quantity
00601,41
00602,107
00603,188
00606,11
00610,78
00612,240
00616,6
00617,107
00622,23
00623,182
00624,58
00627,85
00637,75
00638,30
00641,70
00646,145
00647,18
00650,40
00652,8
00653,23
00656,53
00659,79
00660,75
00662,271
00664,33
00667,33
00669,71
00670,11
00674,189
00676,51
00677,29
00678,150
00680,225
00682,147
00683,89
00685,95
00687,71
00688,8
00690,31
00692,103
00693,251
00698,137
00703,33
00704,34
00705,64
00707,26
00714,69
00715,5
00716,154
00717,68
00718,81
00719,29
00720,24
00723,38
00725,371
00727,226
00728,212
00729,204
00730,153
00731,22
00735,65
00736,148
00738,168
00739,165
00740,2
00741,21
00745,191
00751,80
00754,78
00757,105
00766,79
00767,74
00769,144
00771,130
00772,28
00773,69
00777,142
00778,181
00780,69
00782,27
00783,82
00784,142
00791,178
00794,55
00795,119
00901,32
00907,67
00909,29
00911,21
00912,29
00913,29
00915,130
00917,95
00918,104
00920,104
00921,152
00923,122
00924,260
00925,25
00926,463
00927,74
00949,318
00952,45
00953,237
00956,321
00957,219
00959,263
00961,159
00962,142
00965,38
00966,78
00968,20
00969,193
00971,28
00975,1
00976,227
00979,89
00982,93
00983,210
00985,197
00987,221
32003,44
32009,7
32011,39
32034,80
32065,67
32068,95
32073,71
32081,35
32082,40
32084,56
32092,110
32095,45
32097,52
32114,112
32117,116
32118,66
32119,84
32124,65
32127,77
32128,60
32129,79
32132,24
32141,67
32159,64
32162,105
32163,71
32168,112
32169,28
32174,153
32176,38
32202,6
32204,10
32205,34
32206,31
32207,67
32208,52
32209,54
32210,114
32211,71
32212,1
32216,73
32217,36
32218,139
32219,31
32220,27
32221,72
32222,36
32223,43
32224,53
32225,97
32226,43
32227,1
32233,44
32234,17
32244,121
32246,99
32250,49
32254,23
32256,135
32257,78
32258,67
32259,99
32266,7
32277,57
32617,11
32696,39
32701,73
32703,252
32707,119
32708,127
32709,10
32712,166
32713,94
32714,123
32720,89
32723,4
32724,117
32725,183
32726,56
32730,16
32732,12
32736,22
32738,193
32744,11
32746,153
32750,85
32751,59
32754,29
32757,81
32763,69
32764,18
32765,186
32766,40
32771,171
32773,90
32776,30
32778,84
32779,79
32780,96
32789,65
32792,149
32796,56
32798,10
32801,83
32803,62
32804,51
32805,86
32806,64
32807,155
32808,230
32809,127
32810,147
32811,240
32812,135
32814,32
32816,4
32817,137
32818,226
