zipcode,Quantity
00601,41
00602,94
00603,147
00606,7
00610,74
00612,268
00616,6
00617,100
00622,12
00623,130
00624,66
00627,64
00637,86
00638,39
00641,59
00646,115
00647,14
00650,21
00652,15
00653,24
00656,54
00659,69
00660,54
00662,264
00664,22
00667,46
00669,59
00670,11
00674,133
00676,67
00677,32
00678,132
00680,195
00682,145
00683,80
00685,88
00687,94
00688,14
00690,39
00692,110
00693,261
00698,147
00703,28
00704,25
00705,79
00707,27
00714,67
00715,9
00716,163
00717,48
00718,77
00719,36
00720,15
00723,34
00725,369
00727,186
00728,199
00729,189
00730,163
00731,13
00735,50
00736,167
00738,148
00739,144
00740,5
00741,22
00745,179
00751,81
00754,95
00757,75
00766,60
00767,75
00769,126
00771,154
00772,28
00773,63
00777,121
00778,159
00780,78
00782,27
00783,72
00784,157
00791,159
00794,47
00795,116
00901,17
00907,57
00909,22
00911,19
00912,25
00913,27
00915,104
00917,96
00918,66
00920,83
00921,150
00923,123
00924,218
00925,22
00926,404
00927,62
00949,322
00952,33
00953,261
00956,296
00957,219
00959,222
00961,145
00962,115
00965,19
00966,65
00968,31
00969,185
00971,29
00976,204
00979,94
00982,70
00983,189
00985,199
00987,241
32003,26
32009,12
32011,22
32034,28
32065,66
32068,89
32073,61
32081,44
32082,32
32084,65
32092,82
32095,41
32097,38
32114,94
32117,86
32118,48
32119,49
32124,50
32127,54
32128,49
32129,45
32132,13
32141,37
32159,55
32162,69
32163,68
32168,70
32169,17
32174,136
32176,25
32202,10
32204,8
32205,35
32206,30
32207,42
32208,53
32209,41
32210,70
32211,63
32216,66
32217,32
32218,145
32219,30
32220,15
32221,50
32222,32
32223,38
32224,45
32225,69
32226,41
32233,29
32234,11
32244,94
32246,73
32250,36
32254,21
32256,92
32257,48
32258,47
32259,80
32266,6
32277,42
32617,9
32696,13
32701,66
32703,234
32707,107
32708,111
32709,9
32712,168
32713,53
32714,114
32720,101
32723,6
32724,109
32725,166
32726,66
32730,17
32732,12
32736,29
32738,181
32744,10
32746,93
32750,77
32751,51
32754,36
32757,89
32763,62
32764,12
32765,142
32766,37
32771,190
32773,74
32776,37
32778,62
32779,57
32780,82
32789,44
32792,135
32796,56
32798,7
32801,58
32803,51
32804,43
32805,67
32806,63
32807,140
32808,215
32809,134
32810,124
32811,197
32812,102
32814,18
32816,6
32817,100
32818,246
32819,114
32820,40
32821,146
32822,273
32824,279
