zipcode,Quantity
10460,1
10461,1
10467,1
11210,1
11219,1
11220,1
11234,1
11553,1
11706,1
11738,1
11746,1
19055,1
20105,1
2038,1
22032,1
22033,1
23662,1
27613,1
28012,1
30039,1
30093,1
30141,1
30269,1
30519,1
32003,21
32009,5
32011,20
32034,43
32065,44
32068,72
32073,65
32081,46
32082,20
32084,37
32092,72
32095,26
32097,26
32114,39
32117,43
32118,25
32119,24
32124,38
32127,41
32128,30
32129,29
32132,9
32141,37
32159,40
32162,68
32163,56
32168,59
32169,13
32174,83
32176,22
32202,6
32204,7
32205,22
32206,22
32207,40
32208,42
32209,37
32210,55
32211,45
32216,54
32217,20
32218,103
32219,19
32220,15
32221,46
32222,41
32223,32
32224,40
32225,64
32226,33
32233,25
32234,11
32244,55
32246,53
32250,23
32254,11
32256,67
32257,41
32258,42
32259,65
32266,3
32277,43
32617,4
32696,8
32701,35
32703,81
32707,74
32708,80
32709,2
32712,78
32713,43
32714,63
32720,45
32723,3
32724,74
32725,74
32726,18
32730,7
32732,14
32736,12
32738,85
32744,4
32746,59
32750,48
32751,38
32754,25
32757,40
32763,41
32764,8
32765,112
32766,28
32771,108
32773,65
32776,23
32778,33
32779,25
32780,65
32789,45
32792,65
32796,31
32798,5
32801,36
32803,31
32804,24
32805,38
32806,34
32807,66
32808,90
32809,64
32810,78
32811,98
32812,62
32814,15
32816,12
32817,54
32818,93
32819,69
32820,30
32821,78
32822,138
32824,124
32825,108
32826,55
32827,38
32828,119
32829,47
32832,83
32833,30
32835,87
32836,59
32837,125
32839,95
32901,37
32904,62
32905,43
32907,76
32920,37
32922,20
32926,43
32927,52
32931,13
32934,18
32935,56
32937,46
32940,73
32952,24
32953,40
32955,53
32960,101
32962,133
32968,80
33004,109
33009,544
33010,599
33012,837
33013,434
33014,651
33015,541
33016,608
33018,651
33019,63
33020,340
33021,270
33023,868
33024,450
33025,467
33026,153
33027,375
33028,132
33029,333
33030,224
33031,49
33032,616
33033,509
33034,226
33035,109
33054,424
33055,480
33056,337
33060,226
33062,112
33063,463
33064,503
33065,347
33066,104
33067,115
33068,388
33069,196
33071,202
33073,150
33076,180
33122,1766
33125,524
33126,2040
33127,177
33128,83
33129,81
33130,205
33131,109
33132,154
33133,185
33134,259
33135,451
33136,123
33137,187
33138,143
33139,247
33140,99
33141,263
33142,598
33143,165
33144,328
33145,237
33146,60
33147,515
33149,50
33150,234
33154,76
33155,409
33156,161
33157,575
33158,19
33160,297
33161,326
33162,309
33165,538
33166,4913
33167,204
33168,222
33169,324
33170,163
33172,2099
33173,209
33174,309
33175,515
33176,345
33177,510
33178,1289
33179,349
33180,179
33181,116
33182,838
33183,273
33184,210
33185,218
33186,712
33187,151
33189,193
33190,120
33192,457
33193,387
33194,56
33195,1413
33196,427
33198,751
33301,86
33304,98
33305,50
33306,21
33308,108
33309,380
33311,1489
33312,333
33313,414
33314,322
33315,196
33316,98
33317,259
33319,382
33321,317
33322,331
33323,123
33324,227
33325,197
33326,140
33327,118
33328,144
33330,62
33331,113
33332,103
33334,276
33351,1181
33388,2
33401,144
33403,78
33404,193
33405,118
33406,206
33407,219
33408,66
33409,343
33410,157
33411,461
33412,91
33413,138
33414,286
33415,364
33417,225
33418,155
33426,156
33428,249
33431,85
33432,97
33433,193
33434,112
33435,186
33436,259
33437,192
33441,206
33442,230
33444,130
33445,180
33446,182
33449,51
33455,87
33458,203
33460,169
33461,348
33462,228
33463,424
33467,311
33469,42
33470,269
33472,118
33473,57
33477,31
33478,58
33480,41
33483,63
33484,151
33486,99
33487,101
33493,23
33496,139
33498,78
33510,53
33511,108
33527,29
33534,30
33541,60
33543,73
33544,55
33545,71
33547,44
33548,12
33549,26
33556,59
33558,35
33559,33
33563,36
33565,23
33566,24
33567,16
33569,52
33570,61
33572,47
33573,49
33578,120
33579,97
33584,53
33592,23
33594,58
33596,39
33598,58
33602,36
33603,38
33604,75
33605,14
33606,50
33607,55
33609,27
33610,70
33611,45
33612,87
33613,75
33614,147
33615,131
33616,35
33617,79
33618,33
33619,95
33624,75
33625,53
33626,51
33629,32
33634,77
33635,41
33637,56
33647,118
33701,31
33702,41
33703,29
33704,22
33705,37
33706,17
33707,43
33708,15
33709,41
33710,59
33711,27
33712,37
33713,45
33714,35
33715,12
33716,20
33755,36
33756,50
33759,23
33760,33
33761,25
33762,6
33763,36
33764,50
33765,20
33770,34
33771,51
33772,34
33773,34
33774,25
33776,19
33777,26
33778,27
33781,54
