zipcode,Quantity
00601,24
00602,58
00603,130
00606,5
00610,54
00612,170
00616,4
00617,82
00622,14
00623,90
00624,43
00627,54
00637,57
00638,20
00641,68
00646,112
00647,8
00650,24
00652,6
00653,17
00656,37
00659,64
00660,46
00662,181
00664,23
00667,24
00669,51
00670,5
00674,118
00676,40
00677,15
00678,93
00680,153
00682,80
00683,70
00685,78
00687,75
00688,9
00690,22
00692,79
00693,177
00698,79
00703,16
00704,28
00705,47
00707,16
00714,44
00715,3
00716,111
00717,47
00718,57
00719,23
00720,17
00723,35
00725,266
00727,121
00728,135
00729,119
00730,98
00731,23
00735,24
00736,107
00738,107
00739,100
00740,5
00741,12
00745,140
00751,55
00754,67
00757,58
00766,37
00767,63
00769,90
00771,77
00772,15
00773,56
00777,82
00778,125
00780,34
00782,13
00783,34
00784,83
00791,113
00794,24
00795,87
00901,23
00907,37
00909,14
00911,25
00912,15
00913,23
00915,80
00917,70
00918,60
00920,74
00921,114
00923,96
00924,162
00925,13
00926,309
00927,41
00949,216
00952,37
00953,189
00956,230
00957,134
00959,173
00961,125
00962,77
00965,20
00966,63
00968,14
00969,153
00971,23
00976,162
00979,61
00982,64
00983,137
00985,155
00987,180
32003,55
32009,6
32011,33
32034,90
32065,72
32068,122
32073,98
32081,65
32082,56
32084,81
32092,145
32095,68
32097,66
32114,101
32117,117
32118,79
32119,71
32124,65
32127,102
32128,69
32129,81
32132,23
32141,78
32159,55
32162,131
32163,150
32168,120
32169,37
32174,204
32176,36
32202,9
32204,18
32205,56
32206,25
32207,89
32208,46
32209,49
32210,138
32211,77
32216,67
32217,31
32218,165
32219,42
32220,20
32221,77
32222,45
32223,51
32224,81
32225,133
32226,43
32233,49
32234,23
32244,125
32246,104
32250,47
32254,32
32256,124
32257,70
32258,93
32259,142
32266,11
32277,53
32617,13
32696,28
32701,76
32703,183
32707,121
32708,149
32709,6
32712,186
32713,66
32714,133
32720,94
32723,4
32724,116
32725,153
32726,73
32730,18
32732,17
32736,52
32738,141
32744,8
32746,136
32750,92
32751,62
32754,55
32757,86
32763,84
32764,18
32765,227
32766,52
32771,223
32773,130
32776,55
32778,77
32779,94
32780,115
32789,63
32792,156
32796,67
32798,7
32801,75
32803,80
32804,69
32805,66
32806,83
32807,154
32808,205
32809,130
32810,125
32811,186
32812,135
32814,28
32816,17
32817,111
32818,191
32819,159
32820,47
32821,138
32822,258
32824,265
32825,252
32826,97
32827,87
32828,249
32829,73
32831,2
32832,168
32833,48
32835,189
32836,97
32837,223
32839,201
32885,1
32901,73
32904,159
32905,110
32907,187
32920,69
32922,46
32926,113
32927,114
32931,35
32934,70
32935,124
32937,91
32940,157
32952,55
32953,88
32955,126
32960,151
32962,242
32968,119
33004,163
33009,804
33010,895
33012,1194
33013,644
33014,930
33015,817
33016,927
33018,1123
33019,103
33020,481
33021,437
33023,1411
33024,660
33025,663
33026,211
33027,544
33028,202
33029,581
33030,380
33031,92
33032,947
33033,755
33034,322
33035,213
33054,620
33055,607
33056,451
33060,325
33062,155
33063,687
33064,782
33065,490
33066,132
33067,204
33068,532
33069,313
33071,273
33073,259
33076,281
33122,2635
33125,789
33126,2832
33127,310
33128,104
33129,112
33130,366
33131,204
33132,238
33133,283
33134,407
33135,722
33136,165
33137,266
33138,255
33139,308
33140,150
33141,399
33142,824
33143,277
33144,464
33145,314
33146,113
33147,799
33149,89
33150,276
33154,87
33155,664
33156,241
33157,886
33158,37
33160,440
33161,516
33162,430
33165,778
33166,6764
33167,273
33168,335
33169,433
33170,246
33172,2899
33173,356
33174,468
33175,735
33176,485
33177,805
33178,2155
33179,527
33180,304
33181,205
33182,1383
33183,475
33184,286
33185,327
33186,1155
33187,271
33189,284
33190,170
33192,711
33193,542
33194,61
33195,2460
33196,561
33198,1045
33301,161
33304,163
33305,82
33306,27
33308,210
33309,574
33311,2126
33312,533
33313,666
33314,464
33315,288
33316,142
33317,368
33319,487
33321,442
33322,533
33323,193
33324,365
33325,261
33326,247
33327,139
33328,246
33330,79
33331,155
33332,206
33334,348
33351,1638
33388,5
33401,237
33403,109
33404,286
33405,155
33406,306
33407,318
33408,98
33409,569
33410,259
33411,641
33412,134
33413,165
33414,397
33415,572
33417,301
33418,250
33426,252
33428,399
33431,154
33432,168
33433,282
33434,160
33435,275
33436,339
33437,294
33441,272
33442,337
33444,200
33445,257
33446,233
33449,67
33455,119
33458,283
33460,298
33461,512
33462,276
33463,578
33467,467
33469,78
33470,381
33472,117
33473,104
33477,45
33478,82
33480,56
33483,72
33484,221
33486,149
33487,138
33493,25
33496,213
33498,98
33510,122
33511,204
33527,41
33534,67
33541,131
33543,178
33544,90
33545,129
33547,125
33548,24
33549,60
33556,120
33558,89
33559,51
33563,66
33565,64
33566,69
33567,39
33569,125
