zipcode,Quantity
1028,1
10459,1
11103,1
11358,1
14305,1
18101,1
1867,1
19066,1
19111,1
1930,1
19609,1
1970,1
20706,2
2072,1
20748,1
21207,1
21234,1
2148,1
22033,1
22150,1
23188,3
23238,1
23456,1
23513,1
2459,1
27260,1
27284,2
27526,1
27560,1
27606,1
27610,1
27713,1
28027,1
28173,1
28277,1
28348,1
28390,1
2840,1
2888,1
29365,1
29401,1
29405,1
29651,1
29803,1
30013,1
30028,1
30078,1
30114,1
30127,1
30318,1
30328,1
3062,1
32003,78
32009,10
32011,41
32034,200
32044,3
32065,103
32068,159
32073,103
32081,71
32082,82
32084,94
32092,162
32095,82
32097,91
32102,16
32113,42
32114,177
32117,214
32118,96
32119,145
32124,97
32127,169
32128,123
32129,128
32132,34
32134,53
32140,13
32141,129
32148,67
32159,75
32162,131
32163,123
32168,168
32169,48
32174,330
32176,53
32177,122
32179,93
32195,10
32202,10
32204,16
32205,56
32206,30
32207,84
32208,67
32209,60
32210,155
32211,104
32216,91
32217,48
32218,187
32219,47
32220,32
32221,92
32222,50
32223,62
32224,95
32225,129
32226,67
32233,43
32234,27
32244,148
32246,144
32250,78
32254,27
32256,143
32257,97
32258,91
32259,210
32266,14
32277,78
32601,59
32603,5
32605,94
32606,82
32607,154
32608,216
32609,84
32611,2
32615,90
32617,19
32618,54
32621,38
32626,56
32640,73
32641,68
32643,70
32653,60
32656,57
32666,28
32667,13
32668,43
32669,92
32686,24
32693,89
32694,10
32696,95
32701,31
32702,22
32703,112
32707,63
32708,72
32709,3
32712,106
32713,69
32714,52
32720,78
32723,1
32724,122
32725,91
32726,45
32730,7
32732,16
32736,33
32738,133
32744,13
32746,89
32750,45
32751,52
32754,37
32757,67
32763,48
32764,23
32765,99
32766,40
32767,20
32771,103
32773,44
32776,33
32778,46
32779,82
32780,68
32784,56
32789,65
32792,76
32796,41
32798,7
32801,36
32803,41
32804,40
32805,30
32806,52
32807,65
32808,84
32809,67
32810,58
32811,87
32812,62
32814,16
32817,47
32818,83
32819,51
32820,20
32821,71
32822,123
32824,120
32825,116
32826,23
32827,69
32828,131
32829,36
32832,97
32833,24
32835,93
32836,51
32837,116
32839,117
32901,80
32903,44
32904,147
32905,118
32907,271
32908,97
32909,200
32920,136
32922,21
32926,33
32927,51
32931,28
32934,47
32935,122
32937,96
32940,131
32952,49
32953,48
32955,85
32960,250
32962,293
32968,172
33004,195
33009,768
33010,894
330102415,1
330104070,2
33012,1283
33013,623
33014,919
33015,886
33016,860
33018,1110
33019,98
33020,536
33021,485
33023,1693
33024,824
33025,887
33026,261
33027,606
33028,242
33029,559
33030,423
33031,85
33032,1038
33033,899
33034,318
33035,240
33039,1
33054,694
33055,731
33056,562
33060,338
33062,181
33063,775
33064,775
33065,503
33066,164
33067,231
33068,661
33069,379
33071,325
33073,307
33076,298
33106,20
33122,2539
33125,635
33126,3603
33127,267
33128,90
33129,105
33130,276
33131,182
33132,300
33133,236
33134,369
33135,521
33136,159
33137,226
33138,191
33139,304
33140,164
33141,327
33142,743
33143,236
33144,416
33145,264
33146,100
33147,671
33149,94
33150,242
33154,106
33155,503
33156,222
33157,728
33158,44
33160,378
33161,501
33162,392
33165,690
33166,10711
33167,252
33168,249
33169,425
33170,257
33172,2863
33173,287
33174,323
33175,655
33176,439
33177,699
33178,2542
33179,432
33180,269
33181,181
33182,2143
33183,301
33184,265
33185,269
33186,784
33187,261
33189,241
33190,152
33191,474
33192,681
33193,445
33194,58
33195,4098
33196,493
33198,766
33206,4
33301,126
33304,122
33305,72
33306,20
33308,184
33309,424
33311,3170
33312,533
33313,555
33314,359
33315,235
33316,135
33317,347
33319,399
33321,386
33322,354
33323,160
33324,355
33325,250
33326,211
33327,103
33328,194
33330,84
33331,157
33332,138
33334,314
33351,2042
33388,1
33401,199
33403,125
33404,303
33405,159
33406,286
33407,274
33408,111
33409,372
33410,239
33411,564
33412,157
33413,169
33414,400
33415,502
33417,286
33418,256
33426,217
33428,280
33430,298
33431,111
33432,156
33433,262
33434,123
33435,296
33436,309
33437,222
33441,256
33442,225
33444,162
33445,229
33446,171
33449,72
33455,122
33458,366
33460,248
33461,405
33462,279
33463,518
33467,383
33469,102
33470,424
33472,122
33473,89
33477,68
33478,93
33480,72
33483,72
33484,198
33486,120
33487,128
33493,49
33496,174
33498,86
33510,53
33511,99
33513,45
33514,10
33523,59
33525,101
33527,23
33534,36
33538,36
33541,60
33543,89
33544,63
33545,84
33547,74
33548,15
33549,36
33556,98
33558,55
33559,34
33563,54
33565,45
33566,30
33567,21
33569,72
33570,389
33572,221
33573,309
33576,51
33578,116
33579,83
33584,61
33585,12
33592,27
33594,59
33596,62
33597,24
33598,370
33602,55
33603,24
33604,70
33605,24
33606,26
33607,41
33609,35
33610,65
33611,50
33612,76
33613,50
33614,129
33615,91
33616,30
33617,67
33618,48
33619,62
33624,74
33625,68
33626,49
33629,53
33634,70
33635,38
33637,36
33647,119
33701,33
33702,59
33703,49
33704,42
33705,40
33706,20
33707,40
33708,25
33709,36
33710,62
33711,34
33712,41
33713,45
33714,30
33715,16
33716,31
33755,49
33756,59
33759,25
33760,17
33761,26
33762,14
33763,29
33764,55
33765,19
33770,56
33771,60
33772,43
33773,35
33774,27
33776,31
33777,34
33778,27
33781,47
33782,43
33801,65
33803,53
33805,38
33809,63
33810,103
33811,75
33812,29
33813,77
33815,16
33823,67
33830,75
33837,149
33839,5
33844,113
33850,20
33860,40
33868,23
33880,67
33881,90
33884,62
33896,68
33897,85
33901,192
33903,201
33904,255
33905,314
33907,152
33908,245
33909,460
33912,128
33913,243
33914,367
33916,225
33917,323
33919,192
33920,72
33922,30
33928,200
33931,39
33935,270
33936,288
33946,11
33947,94
33948,188
33950,189
33952,319
33953,105
33954,129
33955,93
33956,26
33966,106
33967,197
33971,381
33972,201
33973,140
33974,242
33976,324
33980,103
33981,164
33982,191
33983,159
33990,331
33991,271
33993,427
34102,78
34103,68
34104,228
34105,113
34108,107
34109,156
34110,160
34112,182
34113,204
34114,204
34116,343
34117,241
34119,283
34120,474
34134,77
34135,295
34142,325
34145,115
34201,35
34202,197
34203,288
34205,309
34207,316
34208,333
34209,178
34210,119
34211,256
34212,198
34219,442
34221,437
34222,138
34223,102
34224,157
34228,39
34229,60
34231,183
34232,287
34233,128
34234,210
34235,113
34236,96
34237,148
34238,124
34239,103
34240,188
34241,131
34242,30
34243,231
34251,110
34266,293
34269,39
34275,258
34285,100
34286,226
34287,242
34288,167
34289,38
34291,76
34292,85
34293,345
34420,50
34428,80
34429,43
34431,79
34432,112
34433,76
34434,109
34436,57
34442,92
34446,137
34448,68
34449,22
34450,68
34452,88
34453,92
34461,58
34465,151
34470,62
34471,68
34472,100
34473,115
34474,54
34475,31
34476,97
34479,36
34480,63
34481,181
34482,141
34484,23
34488,85
34491,97
34498,3
34601,82
34602,42
34604,56
34606,49
34607,21
34608,76
34609,93
34610,71
34613,74
34614,59
34637,34
34638,100
34639,74
34652,39
34653,53
34654,46
34655,92
34667,49
34668,81
34669,29
34677,46
34683,62
34684,52
34685,35
34688,17
34689,50
34690,17
34691,43
34695,37
34698,63
34705,3
34711,127
34714,67
34715,76
34731,34
34734,16
34736,65
34737,11
34741,130
34743,85
34744,143
34746,140
34747,72
34748,86
34753,16
34756,8
34758,87
34759,109
34760,2
34761,100
34762,48
34769,62
34771,142
34772,91
34773,22
34785,121
34786,121
34787,298
34788,48
34797,2
34945,95
34946,84
34947,148
34949,53
34950,127
34951,178
34952,433
34953,998
34956,68
34957,181
34981,51
34982,231
34983,523
34984,228
34986,277
34987,428
34990,227
34994,125
34996,56
34997,315
35803,1
37013,1
37167,1
37211,1
38016,1
38018,1
38115,1
38120,1
43613,1
44142,1
45066,1
45150,1
55449,1
60004,1
60056,1
601,80
6010,1
60160,1
60181,1
602,148
603,277
6051,1
606,25
60647,1
6095,1
610,134
61111,1
612,314
616,37
617,149
622,38
623,214
624,85
627,114
63304,1
637,123
638,64
64082,1
641,144
646,195
647,24
650,89
652,16
653,57
656,97
659,162
660,92
6611,1
662,352
664,70
667,89
669,155
670,52
674,247
676,144
677,72
678,167
680,265
682,142
683,120
685,224
687,127
688,34
690,53
692,146
693,214
694,2
698,211
70043,1
70053,1
70094,1
7018,1
703,106
704,53
705,113
707,56
7083,1
7086,1
7111,2
714,106
715,14
716,153
717,87
718,90
719,125
720,57
7202,1
723,95
725,586
727,257
72719,1
72756,1
728,225
729,207
730,221
73010,1
73012,1
731,47
73127,1
735,55
736,255
738,171
739,237
740,8
74008,1
741,19
74128,1
745,226
75032,1
75052,1
75098,1
751,123
75208,1
75224,1
754,166
757,133
7601,1
76012,1
76123,1
7621,1
766,72
767,158
76711,1
7676,1
769,206
77008,1
77014,1
77049,1
77079,1
77094,1
77096,1
771,211
772,68
7726,1
773,72
77354,1
77429,1
77433,1
77469,1
77479,1
77591,1
777,197
778,238
780,97
78108,1
782,97
78216,1
78245,1
78247,1
783,159
784,279
78640,1
78660,1
78665,1
78744,1
791,200
794,138
795,174
7950,1
80011,1
80015,1
8016,2
80219,1
80817,1
80911,1
83642,1
83651,1
83669,1
83709,1
83712,1
84075,1
84088,1
85033,1
85035,1
85083,1
85143,2
8518,1
85205,1
85224,1
85225,1
85304,1
85339,1
85364,1
85367,1
85710,3
85713,1
85714,1
85715,2
85716,1
85718,1
87105,1
87106,1
87121,1
89015,1
89121,1
89129,1
89135,1
89148,1
89408,2
89502,1
89508,1
89512,2
89703,1
90001,1
90002,1
90016,1
90026,1
90028,1
90029,2
90041,1
90043,1
90057,1
90061,1
90069,1
901,34
90502,1
907,65
90803,1
90805,1
909,23
911,33
91104,1
912,31
91205,1
913,31
91342,1
91344,1
91354,1
915,124
91605,1
917,84
91768,1
91780,1
91791,1
918,71
91803,1
91911,1
91950,1
920,135
92021,1
921,176
92113,1
92231,1
923,144
92307,1
924,271
925,31
92530,1
92555,1
92586,1
926,552
92627,2
92646,1
92648,2
927,74
92708,1
92833,1
92835,1
92841,1
92870,1
93003,1
93063,1
93274,2
93280,1
93291,3
93292,1
93312,1
93314,1
934,1
93433,2
93458,1
93536,2
93550,1
93638,1
93702,1
93901,1
94063,1
94123,1
94401,1
94509,1
94521,1
94544,1
94553,1
94578,1
94610,1
94611,1
949,340
95037,1
952,41
95219,1
953,398
95301,1
95322,1
95361,1
956,411
95608,1
95628,1
957,338
95815,1
95824,2
959,315
961,211
962,123
965,48
966,104
96797,1
968,19
969,258
97013,1
971,59
976,290
979,103
98031,1
98087,1
98106,1
98116,1
98133,1
982,105
983,241
98375,1
984,2
985,268
987,327
