zipcode,Quantity
00601,35
00602,55
00603,119
00606,3
00610,40
00612,169
00616,24
00617,32
00622,11
00623,51
00624,36
00627,77
00637,69
00638,20
00641,48
00646,68
00647,2
00650,47
00652,8
00653,12
00656,37
00659,97
00660,46
00662,116
00664,18
00667,46
00669,73
00670,16
00674,64
00676,34
00677,27
00678,87
00680,123
00682,59
00683,50
00685,84
00687,51
00688,16
00690,21
00692,64
00693,103
00694,2
00698,59
00703,35
00704,14
00705,69
00707,22
00714,46
00715,9
00716,79
00717,23
00718,35
00719,37
00720,12
00723,33
00725,190
00727,84
00728,68
00729,79
00730,60
00731,16
00735,17
00736,92
00738,93
00739,67
00740,10
00741,5
00745,103
00751,39
00754,62
00757,37
00766,52
00767,55
00769,42
00771,72
00772,28
00773,32
00777,79
00778,96
00780,29
00782,35
00783,49
00784,80
00791,94
00794,51
00795,84
00901,12
00907,27
00909,12
00911,10
00912,15
00913,13
00915,60
00917,44
00918,45
00920,42
00921,93
00923,35
00924,118
00925,9
00926,208
00927,18
00949,158
00952,21
00953,139
00956,145
00957,108
00959,121
00961,71
00962,52
00965,12
00966,28
00968,12
00969,111
00971,23
00976,89
00979,56
00982,41
00983,109
00985,97
00987,100
02215,3
06016,2
08210,1
11234,1
15001,1
22193,2
23803,1
23834,1
28273,2
29414,1
30078,2
30157,2
30281,2
30312,1
32003,30
32009,6
32011,33
32034,59
32065,26
32068,63
32073,53
32081,62
32082,48
32084,43
32092,71
32095,24
32097,38
32114,88
32117,76
32118,73
32119,75
32124,118
32127,51
32128,59
32129,45
32132,22
32141,45
32159,51
32162,82
32163,93
32168,79
32169,32
32174,128
32176,32
32202,3
32204,12
32205,26
32206,15
32207,20
32208,55
32209,29
32210,71
32211,34
32216,22
32217,25
32218,77
32219,21
32220,10
32221,45
32222,15
32223,19
32224,27
32225,56
32226,10
32233,21
32234,9
32244,52
32246,34
32250,27
32254,16
32256,62
32257,21
32258,32
32259,65
32266,6
32277,39
32617,32
32696,54
32701,39
32703,122
32707,48
32708,83
32709,5
32712,103
32713,51
32714,76
32720,39
32723,3
32724,86
32725,89
32726,39
32730,15
32732,23
32736,21
32738,87
32744,5
32746,60
32750,48
32751,51
32754,41
32757,56
32763,34
32764,23
32765,117
32766,33
32771,118
32773,75
32776,37
32778,49
32779,64
32780,70
32789,50
32792,101
32796,50
32798,5
32801,36
32803,36
32804,28
32805,17
32806,27
32807,81
32808,143
32809,82
32810,55
32811,124
32812,72
32814,9
32816,10
32817,80
32818,116
32819,106
32820,17
32821,85
32822,158
32824,153
32825,117
32826,52
32827,45
32828,129
32829,33
32832,74
32833,24
32835,104
32836,56
32837,139
32839,121
32901,143
32904,182
32905,126
32907,229
32920,59
32922,39
32926,61
32927,84
32931,21
32934,59
32935,136
32937,80
32940,99
32952,33
32953,59
32955,68
32960,133
32962,231
32968,79
33004,123
33009,451
33010,586
33012,814
33013,340
33014,529
33015,511
33016,638
33018,766
33019,96
33020,281
33021,298
33023,796
33024,442
33025,477
33026,146
33027,322
33028,131
33029,291
33030,219
33031,85
33032,598
33033,508
33034,255
33035,113
33054,387
33055,380
33056,300
33060,215
33062,119
33063,431
33064,508
33065,291
33066,118
33067,116
33068,347
33069,198
33071,142
33073,168
33076,175
33116,6
33122,1135
33125,491
33126,1489
33127,168
33128,66
33129,70
33130,162
33131,112
33132,113
33133,136
33134,240
33135,443
33136,136
33137,154
33138,113
33139,204
33140,110
33141,237
33142,483
33143,188
33144,307
33145,210
33146,41
33147,437
33149,83
33150,166
33154,39
33155,398
33156,145
33157,490
33158,10
33160,189
33161,287
33162,304
33165,387
33166,3572
33167,189
33168,185
33169,324
33170,148
33172,1433
33173,209
33174,268
33175,439
33176,256
33177,464
33178,1180
33179,326
33180,153
33181,106
33182,742
33183,306
33184,222
33185,162
33186,659
33187,196
33189,178
33190,91
33191,38
33192,393
33193,350
33194,47
33195,1359
33196,372
33198,525
33206,33
33301,63
33304,87
33305,41
33306,15
33308,83
