zipcode,Quantity
00601,20
00602,59
00603,104
00606,10
00610,59
00612,154
00616,8
00617,65
00622,12
00623,101
00624,33
00627,57
00637,56
00638,17
00641,52
00646,98
00647,13
00650,17
00652,5
00653,13
00656,22
00659,45
00660,47
00662,164
00664,21
00667,28
00669,47
00670,6
00674,111
00676,37
00677,21
00678,94
00680,152
00682,86
00683,64
00685,53
00687,64
00688,12
00690,24
00692,63
00693,159
00698,88
00703,25
00704,17
00705,46
00707,18
00714,39
00715,8
00716,107
00717,53
00718,58
00719,19
00720,6
00723,36
00725,228
00727,129
00728,119
00729,130
00730,113
00731,12
00735,30
00736,90
00738,74
00739,121
00740,1
00741,14
00745,145
00751,47
00754,59
00757,67
00766,40
00767,44
00769,66
00771,70
00772,22
00773,55
00777,85
00778,94
00780,39
00782,13
00783,42
00784,111
00791,107
00794,33
00795,79
00901,24
00907,48
00909,22
00911,17
00912,16
00913,16
00915,75
00917,70
00918,59
00920,71
00921,133
00923,83
00924,117
00925,15
00926,280
00927,48
00949,215
00952,31
00953,168
00956,205
00957,134
00959,152
00961,101
00962,69
00965,20
00966,47
00968,13
00969,151
00971,30
00976,140
00979,57
00982,51
00983,129
00985,152
00987,154
32003,13
32009,1
32011,11
32034,24
32065,37
32068,52
32073,35
32081,23
32082,13
32084,35
32092,53
32095,27
32097,30
32114,48
32117,38
32118,19
32119,23
32124,11
32127,22
32128,17
32129,28
32132,8
32141,18
32159,24
32162,22
32163,39
32168,30
32169,2
32174,52
32176,10
32202,2
32204,6
32205,14
32206,10
32207,27
32208,31
32209,25
32210,46
32211,51
32216,54
32217,18
32218,73
32219,21
32220,11
32221,30
32222,23
32223,19
32224,30
32225,44
32226,22
32233,15
32234,3
32244,57
32246,48
32250,25
32254,10
32256,72
32257,37
32258,38
32259,60
32266,2
32277,23
32617,4
32696,10
32701,27
32703,99
32707,39
32708,70
32709,2
32712,74
32713,21
32714,55
32720,36
32723,2
32724,37
32725,76
32726,24
32730,6
32732,5
