zipcode,Quantity
10312,1
11206,1
11368,1
11722,1
17025,1
17402,1
1852,1
19013,1
19053,1
19064,1
19126,1
19904,1
20017,1
21133,1
21208,1
21234,1
21244,1
23226,1
23518,1
23704,1
27529,1
27571,1
27610,1
28025,1
28278,1
29204,1
29403,2
29405,3
29420,1
29461,1
30093,1
30215,1
30269,2
30360,1
30906,2
31326,1
32003,72
32009,4
32011,38
32034,190
32044,1
32065,82
32068,136
32073,108
32081,68
32082,63
32084,81
32092,151
32095,54
32097,76
32102,18
32113,29
32114,116
32117,158
32118,84
32119,106
32124,81
32127,150
32128,107
32129,128
32132,37
32134,46
32140,9
32141,118
32148,56
32159,95
32162,108
32163,107
32168,160
32169,39
32174,254
32176,60
32177,101
32179,59
32195,4
32202,6
32204,9
32205,45
32206,23
32207,74
32208,60
32209,55
32210,141
32211,85
32216,100
32217,38
32218,184
32219,51
32220,34
32221,72
32222,39
32223,62
32224,88
32225,121
32226,51
32233,50
32234,18
32244,124
32246,124
32250,69
32254,29
32256,127
32257,79
32258,92
32259,180
32266,12
32277,60
32601,40
32603,10
32605,71
32606,92
32607,100
32608,173
32609,62
32611,2
32615,54
32617,30
32618,28
32621,39
32626,57
32640,56
32641,52
32643,68
32653,68
32656,45
32666,29
32667,9
32668,33
32669,86
32686,24
32693,64
32694,10
32696,85
32701,21
32702,17
32703,94
32707,50
32708,62
32709,10
32712,79
32713,56
32714,64
32720,69
32723,1
32724,102
32725,76
32726,34
32730,9
32732,9
32736,16
32738,120
32744,8
32746,72
32750,39
32751,37
32754,18
32757,36
32763,47
32764,18
32765,77
32766,31
32767,13
32771,73
32773,35
32776,32
32778,43
32779,35
32780,47
32784,20
32789,46
32792,65
32796,31
32798,9
32801,26
32803,29
32804,38
32805,18
32806,41
32807,49
32808,81
32809,53
32810,54
32811,67
32812,48
32814,14
32816,3
32817,53
32818,90
32819,63
32820,17
32821,56
32822,86
32824,113
32825,82
32826,28
32827,49
32828,69
32829,38
32832,83
32833,15
32835,78
32836,44
32837,82
32839,81
32901,30
32903,42
32904,82
32905,68
32907,237
32908,102
32909,160
32920,99
32922,33
32926,29
32927,34
32931,26
32934,34
32935,70
32937,78
32940,103
32952,37
32953,38
32955,54
32960,229
32962,347
32968,166
33004,232
33009,1028
33010,1013
330104070,1
33012,1377
33013,761
33014,1338
33015,971
33016,1074
33018,1345
33019,139
33020,640
33021,532
33023,1927
33024,773
33025,877
33026,286
33027,609
33028,248
33029,650
33030,442
33031,113
33032,1104
33033,980
33034,385
33035,227
33039,2
33054,910
33055,848
33056,654
33060,359
33062,218
33063,1011
33064,904
33065,534
33066,154
33067,205
33068,741
33069,385
33071,352
33073,287
33076,311
33106,26
33116,2
33122,4311
33125,851
33126,3452
33127,371
33128,120
33129,126
33130,422
33131,215
33132,247
33133,264
33134,465
33135,738
33136,185
33137,303
33138,265
33139,364
33140,149
33141,434
33142,977
33143,287
33144,507
33145,345
33146,109
33147,957
33149,91
33150,376
33154,104
33155,748
33156,283
33157,903
33158,36
33160,565
33161,594
33162,641
33165,816
33166,9803
33167,351
33168,360
33169,611
33170,273
33172,4982
33173,414
33174,484
33175,831
33176,539
33177,911
33178,2687
33179,589
33180,321
33181,227
33182,1788
33183,454
33184,351
33185,360
33186,1349
33187,281
33189,359
33190,208
33191,292
33192,889
33193,637
33194,71
33195,4316
33196,638
33198,807
33206,4
33301,134
33304,178
33305,101
33306,22
33308,201
33309,851
33311,3768
33312,943
33313,890
33314,673
33315,455
33316,183
33317,397
33319,624
33321,481
33322,603
33323,235
33324,426
33325,343
33326,262
33327,170
33328,211
33330,110
33331,180
33332,212
33334,543
33351,2533
33401,277
33403,161
33404,373
33405,186
33406,355
33407,336
33408,104
33409,667
33410,308
33411,733
33412,192
33413,225
33414,519
33415,699
33417,348
33418,281
33426,275
33428,386
33430,263
33431,136
33432,145
33433,314
33434,148
33435,354
33436,380
33437,252
33441,274
33442,305
33444,216
33445,251
33446,223
33449,77
33455,172
33458,349
33460,308
33461,601
33462,359
33463,706
33467,502
33469,104
33470,459
33472,155
33473,63
33477,65
33478,135
33480,68
33483,102
33484,262
33486,146
33487,130
33493,42
33496,200
33498,106
33510,38
33511,69
33513,32
33514,3
33523,17
33525,26
33527,16
33534,24
33538,26
33541,47
33543,65
33544,55
33545,69
33547,54
33548,12
33549,29
33556,57
33558,46
33559,26
33563,32
33565,36
33566,30
33567,13
33569,47
33570,431
33572,249
33573,340
33576,22
33578,90
33579,70
33584,45
33585,14
33592,17
33594,47
33596,43
33597,15
