zipcode,Quantity
00601,20
00602,59
00603,91
00606,3
00610,46
00612,113
00616,5
00617,58
00622,10
00623,99
00624,30
00627,47
00637,45
00638,16
00641,39
00646,88
00647,13
00650,18
00652,3
00653,18
00656,22
00659,45
00660,57
00662,151
00664,14
00667,16
00669,33
00670,4
00674,95
00676,45
00677,13
00678,86
00680,120
00682,84
00683,39
00685,79
00687,45
00688,6
00690,17
00692,82
00693,112
00694,2
00698,69
00703,20
00704,6
00705,46
00707,19
00714,38
00715,3
00716,74
00717,31
00718,44
00719,25
00720,7
00723,19
00725,204
00727,105
00728,76
00729,102
00730,90
00731,12
00735,28
00736,94
00738,84
00739,86
00740,4
00741,9
00745,99
00751,47
00754,56
00757,43
00766,31
00767,41
00769,88
00771,72
00772,21
00773,46
00777,65
00778,100
00780,42
00782,20
00783,38
00784,85
00791,89
00794,37
00795,65
00901,19
00907,52
00909,9
00911,22
00912,15
00913,17
00915,62
00917,48
00918,50
00920,58
00921,79
00923,72
00924,121
00925,12
00926,232
00927,33
00949,160
00952,18
00953,125
00956,182
00957,124
00959,123
00961,102
00962,53
00965,16
00966,63
00968,15
00969,148
00971,20
00976,110
00979,56
00982,52
00983,86
00985,125
00987,127
32003,42
32009,6
32011,20
32034,61
32065,63
32068,67
32073,50
32081,28
32082,35
32084,44
32092,102
32095,34
32097,38
32114,87
32117,82
32118,34
32119,45
32124,28
32127,52
32128,53
32129,50
32132,7
32141,42
32159,45
32162,52
32163,49
32168,65
32169,13
32174,81
32176,12
32202,7
32204,9
32205,23
32206,21
32207,44
32208,46
32209,46
32210,84
32211,45
32216,70
32217,26
32218,109
32219,31
32220,19
32221,56
32222,26
32223,34
32224,54
32225,80
32226,30
32233,26
32234,15
32244,114
32246,84
32250,40
32254,14
32256,115
32257,67
32258,51
32259,88
32266,4
32277,40
32617,7
32696,22
32701,56
32703,147
32707,51
32708,67
32709,6
32712,120
32713,43
32714,74
32720,52
32723,7
32724,86
32725,118
32726,35
32730,12
